"Country","Alcoholic Beverages","Animal fats","Animal Products","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Milk - Excluding Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar & Sweeteners","Sugar Crops","Treenuts","Vegetable Oils","Vegetables","Vegetal Products","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Afghanistan",0.0014,0.1973,9.4341,0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0,0.077,0.5345,6.7642,40.5645,4.5,"29.8",0.0214105462383681,0.000491561957836076,0.0024446664213238,0.0184743178592082,38042000,"%"
"Albania",1.6719,0.1357,18.7684,0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,8e-04,1.8096,0.1055,1.5367,0,0.1515,0.3261,11.7753,31.2304,22.3,"6.2",0.0337298810356893,0.00108467459762071,0.0265220433869839,0.00612316305108467,2858000,"%"
"Algeria",0.2711,0.0282,9.6334,0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0,0.1152,1.031,11.6484,40.3651,26.6,"3.9",0.01737547804451,0.00130857485140303,0.00914159332811132,0.00692530986499562,43406000,"%"
"Angola",5.8087,0.056,4.9278,0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,9e-04,18.1102,0.0508,1.8495,0,0.0061,0.6463,2.3041,45.0722,6.8,"25",0.000165462818595475,9.54593184204665e-06,5.40936137715977e-05,0.000101823272981831,31427000,"%"
"Antigua and Barbuda",3.5764,0.0087,16.6613,0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0,0.0253,0.8102,5.4495,33.3233,19.1,NA,0.0257731958762887,0.00309278350515464,0.0195876288659794,0.00309278350515464,97000,"%"
"Argentina",4.2672,0.2234,19.3454,0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0,0.02,0.9541,4.3503,30.6559,28.5,"4.6",0.0206568904515009,0.000896771178708916,0.00652662498052916,0.0132334942922628,44939000,"%"
"Armenia",0.4014,0.1833,13.564,0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0,0.1108,0.4705,16.7019,36.4358,20.9,"4.3",0.17795408507765,0.00226198514517218,0.0816677920324105,0.0940243079000675,2962000,"%"
"Australia",5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0,0.3176,1.2798,5.1406,28.5806,30.4,"<2.5",0.0279826121319897,0.000395178818415333,0.025568069551472,0.00201936376210235,25305000,"%"
"Austria",7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,5e-04,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0,0.2367,0.8109,5.1098,30.4338,21.9,"<2.5",0.184217641094965,0.0071307874281852,0.167646727498029,0.0094401261687507,8877000,"%"
"Azerbaijan",3.5969,0.2544,11.6416,0,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0,0.1906,0.2235,10.0755,38.3584,19.9,"<2.5",0.03622667863913,0.000429013269480196,0.0224782999102065,0.0133193654594433,10023000,"%"
"Bahamas",2.0175,0.0062,11.4718,9e-04,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,32.1,NA,0.0249357326478149,0.00282776349614396,0.0110539845758355,0.0110539845758355,389000,"%"
"Bangladesh",0.0031,0.0156,5.1926,0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,"14.7",0.0163368302712214,0.000235844733513781,0.00318145991556025,0.0129195256221474,163667000,"%"
"Barbados",3.565,0.2212,12.4976,0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0,0.0852,0.8677,5.4725,37.5167,24.8,"3.9",0.0313588850174216,0.0024390243902439,0.024390243902439,0.00452961672473868,287000,"%"
"Belarus",3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,26.6,"<2.5",0.342516108587726,0.00189077849371501,0.120576740255625,0.220048589838386,9467000,"%"
"Belgium",5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,24.5,"<2.5",0.488593122709024,0.0798568685634491,0.129577587711643,0.279158666433933,11458000,"%"
"Belize",3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,22.4,"7.5",0.00441176470588235,0.000490196078431373,0.00392156862745098,0,408000,"%"
"Benin",5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,8.2,"10.1",0.0011016015591899,1.69477162952292e-05,0.000483009914414033,0.000601643928480637,11801000,"%"
"Bolivia",2.8956,0.0889,11.7799,0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0,0.7084,0.3573,3.2224,38.2165,18.7,"17.1",0.0428857890148213,0.00173496076721883,0.00482127288578901,0.0363295553618134,11470000,"%"
